event,event_label,event_date,status,selected_source,selected_title,selected_url,selected_ranking_score,candidate_count,search_endpoint,query_used,unique_threads
fb05_revenue_increase_revenue_missing_date,is the market undervaluing facebook stock | Revenue.Increase_Revenue,,collected,x,,,,26,search/all,"""is the market undervaluing facebook stock"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",26
abbv04_product_service_launch_missing_date,is this dividend aristocrat ridiculously undervalued | Product/Service.Launch,,collected,x,,,,50,search/all,"""is this dividend aristocrat ridiculously undervalued"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,,collected,x,,,,50,search/all,"""jeff bezos fortune continues to soar as amazon"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",50
jnj02_product_service_launch_missing_date,jj drug prevents heart attacks at cost of amputated toes | Product/Service.Launch,,collected,x,,,,50,search/all,"""jj drug prevents heart attacks at cost of"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
jnj01_product_service_trial_missing_date,jj s zytiga boosts survival in new severe prostate cancers | Product/Service.Trial,,collected,x,,,,1,search/all,"""jj s zytiga boosts survival in new severe"" OR ""Product/Service.Trial"" -is:retweet lang:en",1
jnj04_financialreport_beat_missing_date,johnson johnson earnings when strong is nt strong enough | FinancialReport.Beat,,no_results,x,,,,0,search/all,"""johnson johnson earnings when strong is nt strong"" OR ""FinancialReport.Beat"" -is:retweet lang:en",0
jnj00_product_service_trial_missing_date,johnson johnson plans to file for approval 10 potential blockb | Product/Service.Trial,,collected,x,,,,1,search/all,"""johnson johnson plans to file for approval 10"" OR ""Product/Service.Trial"" -is:retweet lang:en",1
jnj03_product_service_trial_missing_date,johnson johnson s type 2 diabetes drug is stellar in cardiova | Product/Service.Trial,,collected,x,,,,1,search/all,"""johnson johnson s type 2 diabetes drug is"" OR ""Product/Service.Trial"" -is:retweet lang:en",1
nflx14_salesvolume_increase_salesvolume_missing_date,just ca nt get enough netflix subscriptions could grow despit | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""just ca nt get enough netflix subscriptions could"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
kmi00_securityvalue_decrease_securityvalue_missing_date,kinder morgan s canada ipo faces a challenge | SecurityValue.Decrease_SecurityValue,,collected,x,,,,1,search/all,"""kinder morgan s canada ipo faces a challenge"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",1
kmi03_facility_open_missing_date,kmi launches canada ipo amid political uncertainty in bc | Facility.Open,,collected,x,,,,50,search/all,"""kmi launches canada ipo amid political uncertainty in"" OR ""Facility.Open"" -is:retweet lang:en",50
duk06_rating_buyoutperform_missing_date,like many of its peers duk is trading in the oversold zone | Rating.BuyOutperform,,no_results,x,,,,0,search/all,"""like many of its peers duk is trading"" OR ""Rating.BuyOutperform"" -is:retweet lang:en",0
f05_employment_start_missing_date,lucid motors is mulling sale after takeover talks with ford | Employment.Start,,collected,x,,,,50,search/all,"""lucid motors is mulling sale after takeover talks"" OR ""Employment.Start"" -is:retweet lang:en",50
fb04_csr_brand_missing_date,mark zuckerberg just sold 425 million of facebook stock | CSR/Brand,,collected,x,,,,42,search/all,"""mark zuckerberg just sold 425 million of facebook"" OR ""CSR/Brand"" -is:retweet lang:en",42
f03_salesvolume_increase_salesvolume_missing_date,may auto sales results reveal a new leader among detroit three | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""may auto sales results reveal a new leader"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
msft02_facility_open_missing_date,microsoft corp expanding its sa footprint with 50m new constr | Facility.Open,,collected,x,,,,50,search/all,"""microsoft corp expanding its sa footprint with 50m"" OR ""Facility.Open"" -is:retweet lang:en",50
msft01_product_service_launch_missing_date,microsoft revamped skype to look like snapchat | Product/Service.Launch,,collected,x,,,,50,search/all,"""microsoft revamped skype to look like snapchat"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
msft03_product_service_launch_missing_date,microsoft surprises nobody with xbox one x price | Product/Service.Launch,,collected,x,,,,50,search/all,"""microsoft surprises nobody with xbox one x price"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
msft04_product_service_launch_missing_date,microsoft ventures a look at redmond s latest 13 investments | Product/Service.Launch,,collected,x,,,,50,search/all,"""microsoft ventures a look at redmond s latest"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
nflx02_product_service_cancellation_recall_missing_date,netflix can break hearts too | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""netflix can break hearts too"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
nflx13_product_service_cancellation_recall_missing_date,netflix cuts ties with kevin spacey | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""netflix cuts ties with kevin spacey"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
nflx00_salesvolume_increase_salesvolume_missing_date,netflix headed to 90 million users | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""netflix headed to 90 million users"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
nflx12_securityvalue_increase_securityvalue_missing_date,netflix raising 16 billion in bond market to fuel content acq | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""netflix raising 16 billion in bond market to"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
nflx01_revenue_increase_revenue_missing_date,netflix s stock is worth only about one third of where it trade | Revenue.Increase_Revenue,,collected,x,,,,9,search/all,"""netflix s stock is worth only about one"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",9
nflx11_salesvolume_increase_salesvolume_missing_date,netflix stock seesaws after third quarter subscriber beat | SalesVolume.Increase_SalesVolume,,collected,x,,,,1,search/all,"""netflix stock seesaws after third quarter subscriber beat"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",1
abbv02_salesvolume_decrease_salesvolume_missing_date,neupogen and enbrel could see falling revenues in 2017 | SalesVolume.Decrease_SalesVolume,,collected,x,,,,1,search/all,"""neupogen and enbrel could see falling revenues in"" OR ""SalesVolume.Decrease SalesVolume"" -is:retweet lang:en",1
wfc01_legal_conviction_settlement_missing_date,new york city bars wells fargo from banking work after scandals | Legal.Conviction/Settlement,,no_results,x,,,,0,search/all,"""new york city bars wells fargo from banking"" OR ""Legal.Conviction/Settlement"" -is:retweet lang:en",0
nem05_profit_loss_increase_profit_loss_missing_date,newmont barrick race for top gold crown comes down to a decimal | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""newmont barrick race for top gold crown comes"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
nem06_securityvalue_increase_securityvalue_missing_date,newmont mining is investors gold stock to buy | SecurityValue.Increase_SecurityValue,,collected,x,,,,15,search/all,"""newmont mining is investors gold stock to buy"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",15
nem02_rating_buyoutperform_missing_date,newmont mining ready to shine | Rating.BuyOutperform,,collected,x,,,,20,search/all,"""newmont mining ready to shine"" OR ""Rating.BuyOutperform"" -is:retweet lang:en",20
nem03_profit_loss_decrease_profit_loss_missing_date,newmont s lower margins understanding the analyst predictions | Profit/Loss.Decrease_Profit/Loss,,no_results,x,,,,0,search/all,"""newmont s lower margins understanding the analyst predictions"" OR ""Profit/Loss.Decrease Profit/Loss"" -is:retweet lang:en",0
amzn10_securityvalue_increase_securityvalue_missing_date,nokia amazon work signals public cloud telecom takeover says w | SecurityValue.Increase_SecurityValue,,collected,x,,,,45,search/all,"""nokia amazon work signals public cloud telecom takeover"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",45
amd09_product_service_launch_missing_date,nvidia and amd must brace for competition from a super powerful | Product/Service.Launch,,collected,x,,,,46,search/all,"""nvidia and amd must brace for competition from"" OR ""Product/Service.Launch"" -is:retweet lang:en",46
pg03_csr_brand_missing_date,pg ceo david taylor helps launch massive diversity initiative i | CSR/Brand,,collected,x,,,,32,search/all,"""pg ceo david taylor helps launch massive diversity"" OR ""CSR/Brand"" -is:retweet lang:en",32
pg02_product_service_cancellation_recall_missing_date,pg ceo says it is in ongoing constructive active talks wi | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""pg ceo says it is in ongoing constructive"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
pg04_employment_start_missing_date,pg names vice chairman promotes two other top executives | Employment.Start,,collected,x,,,,50,search/all,"""pg names vice chairman promotes two other top"" OR ""Employment.Start"" -is:retweet lang:en",50
duk04_profit_loss_increase_profit_loss_missing_date,piedmont natural gas a money maker for duke energy in first full | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""piedmont natural gas a money maker for duke"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
ge07_macroeconomics_missing_date,pratt s 10 billion jet engine lags ge by 10 to 1 on new order | Macroeconomics,,collected,x,,,,50,search/all,"""pratt s 10 billion jet engine lags ge"" OR ""Macroeconomics"" -is:retweet lang:en",48
pg05_expense_decrease_expense_missing_date,procter gamble co s proxy fight what investors need to know | Expense.Decrease_Expense,,collected,x,,,,2,search/all,"""procter gamble co s proxy fight what investors"" OR ""Expense.Decrease Expense"" -is:retweet lang:en",2
pg01_product_service_launch_missing_date,razor wars continue gillette cut by old time rival | Product/Service.Launch,,collected,x,,,,50,search/all,"""razor wars continue gillette cut by old time"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
ba10_securityvalue_increase_securityvalue_missing_date,reduce holdings on boeing and 3 other defense stocks pre earning | SecurityValue.Increase_SecurityValue,,collected,x,,,,25,search/all,"""reduce holdings on boeing and 3 other defense"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",25
duk01_expense_increase_expense_missing_date,regulators to duke energy do you still want the lee nuclear pl | Expense.Increase_Expense,,collected,x,,,,1,search/all,"""regulators to duke energy do you still want"" OR ""Expense.Increase Expense"" -is:retweet lang:en",1
amd11_product_service_launch_missing_date,reviews confirm with radeon rx vega amd re enters the performa | Product/Service.Launch,,collected,x,,,,45,search/all,"""reviews confirm with radeon rx vega amd re"" OR ""Product/Service.Launch"" -is:retweet lang:en",45
ba15_securityvalue_increase_securityvalue_missing_date,should boeing buy ge aviation | SecurityValue.Increase_SecurityValue,,collected,x,,,,12,search/all,"""should boeing buy ge aviation"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",12
dis10_product_service_launch_missing_date,stocks in red that might produce some green | Product/Service.Launch,,collected,x,,,,50,search/all,"""stocks in red that might produce some green"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
aapl13_securityvalue_increase_securityvalue_missing_date,stocks mixed this california builder breaks out what to watc | SecurityValue.Increase_SecurityValue,,collected,x,,,,7,search/all,"""stocks mixed this california builder breaks out what"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",7
cvx04_securityvalue_increase_securityvalue_missing_date,strong crude oil no help for chevron exxon mobil | SecurityValue.Increase_SecurityValue,,collected,x,,,,12,search/all,"""strong crude oil no help for chevron exxon"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",12
aapl09_product_service_launch_missing_date,tech stocks this week iphone 8 rumors samsung s note return | Product/Service.Launch,,collected,x,,,,50,search/all,"""tech stocks this week iphone 8 rumors samsung"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
abbv03_dividend_payment_missing_date,the 2 best dividend stocks in marijuana | Dividend.Payment,,collected,x,,,,50,search/all,"""the 2 best dividend stocks in marijuana"" OR ""Dividend.Payment"" -is:retweet lang:en",48
abbv13_securityvalue_increase_securityvalue_missing_date,the hot stock biggest loser abbvie wynn resorts | SecurityValue.Increase_SecurityValue,,collected,x,,,,8,search/all,"""the hot stock biggest loser abbvie wynn resorts"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",8
chk02_securityvalue_increase_securityvalue_missing_date,the hot stock chesapeake energy jumps 43 | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""the hot stock chesapeake energy jumps 43"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
amzn00_product_service_launch_missing_date,the world s largest retailers 2017 amazon alibaba are closi | Product/Service.Launch,,collected,x,,,,50,search/all,"""the world s largest retailers 2017 amazon alibaba"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
f10_securityvalue_decrease_securityvalue_missing_date,these 3 auto stocks are hovering near buy points but gm tesl | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""these 3 auto stocks are hovering near buy"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,,collected,x,,,,50,search/all,"""this hedge fund bought 250 million of disney"" OR ""Rating.Maintain"" -is:retweet lang:en",46
aapl04_securityvalue_decrease_securityvalue_missing_date,three reasons apple s shares took a drubbing | SecurityValue.Decrease_SecurityValue,,collected,x,,,,45,search/all,"""three reasons apple s shares took a drubbing"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",45
abbv12_rating_pricetarget_missing_date,top biotech stock near buy zone shows positive drug trial resu | Rating.PriceTarget,,collected,x,,,,26,search/all,"""top biotech stock near buy zone shows positive"" OR ""Rating.PriceTarget"" -is:retweet lang:en",26
f09_employment_start_missing_date,top ford execs leaving as hackett reshapes the automaker for the | Employment.Start,,collected,x,,,,50,search/all,"""top ford execs leaving as hackett reshapes the"" OR ""Employment.Start"" -is:retweet lang:en",50
ba12_securityvalue_increase_securityvalue_missing_date,underappreciated why boeing s astronomical rise might not | SecurityValue.Increase_SecurityValue,,collected,x,,,,11,search/all,"""underappreciated why boeing s astronomical rise might not"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",11
aal05_product_service_launch_missing_date,underdog brazilian carrier avianca brasil takes on american on m | Product/Service.Launch,,collected,x,,,,50,search/all,"""underdog brazilian carrier avianca brasil takes on american"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
aal11_securityvalue_decrease_securityvalue_missing_date,us airlines are still too darn cheap and unpopular to boot | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""us airlines are still too darn cheap and"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
wmt03_facility_open_missing_date,wal mart s sam s club reinvents its private brand | Facility.Open,,collected,x,,,,50,search/all,"""wal mart s sam s club reinvents its"" OR ""Facility.Open"" -is:retweet lang:en",50
wmt07_product_service_launch_missing_date,walmart s meal kits are not the solution to fight amazon | Product/Service.Launch,,collected,x,,,,50,search/all,"""walmart s meal kits are not the solution"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
wmt05_financialreport_miss_missing_date,walmart stock nears key support after earnings miss | FinancialReport.Miss,,collected,x,,,,9,search/all,"""walmart stock nears key support after earnings miss"" OR ""FinancialReport.Miss"" -is:retweet lang:en",9
wmt02_employment_compensation_missing_date,walmart taps store associates for last mile delivery program | Employment.Compensation,,collected,x,,,,50,search/all,"""walmart taps store associates for last mile delivery"" OR ""Employment.Compensation"" -is:retweet lang:en",48
celg03_product_service_launch_missing_date,waltham based dragonfly inks collaboration with celgene bags | Product/Service.Launch,,collected,x,,,,50,search/all,"""waltham based dragonfly inks collaboration with celgene bags"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
chk00_rating_pricetarget_missing_date,was the merrill lynch downgrade of chesapeake justified | Rating.PriceTarget,,collected,x,,,,23,search/all,"""was the merrill lynch downgrade of chesapeake justified"" OR ""Rating.PriceTarget"" -is:retweet lang:en",23
fox03_revenue_increase_revenue_missing_date,weekend box office wonder woman opened even bigger than we | Revenue.Increase_Revenue,,collected,x,,,,19,search/all,"""weekend box office wonder woman opened even bigger"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",19
wfc03_employment_end_missing_date,wells fargo eliminates management roles in embattled community b | Employment.End,,collected,x,,,,50,search/all,"""wells fargo eliminates management roles in embattled community"" OR ""Employment.End"" -is:retweet lang:en",50
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,,collected,x,,,,50,search/all,"""wells fargo found liable in abusive tax shelter"" OR ""Legal.Conviction/Settlement"" -is:retweet lang:en",50
wfc02_legal_proceeding_missing_date,wells fargo s nyse wfc headaches mount as justice | Legal.Proceeding,,collected,x,,,,50,search/all,"""wells fargo s nyse wfc headaches mount as"" OR ""Legal.Proceeding"" -is:retweet lang:en",46
chk01_securityvalue_stable_securityvalue_missing_date,what are the short interest trends in chesapeake energy stock | SecurityValue.Stable_SecurityValue,,collected,x,,,,3,search/all,"""what are the short interest trends in chesapeake"" OR ""SecurityValue.Stable SecurityValue"" -is:retweet lang:en",3
kmi01_dividend_yieldraise_missing_date,what enterprise products could offer income investors | Dividend.YieldRaise,,no_results,x,,,,0,search/all,"""what enterprise products could offer income investors"" OR ""Dividend.YieldRaise"" -is:retweet lang:en",0
amd04_revenue_increase_revenue_missing_date,what impacted advanced micro devices stock in may 2017 | Revenue.Increase_Revenue,,no_results,x,,,,0,search/all,"""what impacted advanced micro devices stock in may"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",0
ge00_facility_open_missing_date,what s behind ge s move from the connecticut suburbs to boston | Facility.Open,,no_results,x,,,,0,search/all,"""what s behind ge s move from the"" OR ""Facility.Open"" -is:retweet lang:en",0
bac01_revenue_increase_revenue_missing_date,what to expect from bac and peers in 2017 | Revenue.Increase_Revenue,,no_results,x,,,,0,search/all,"""what to expect from bac and peers in"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",0
jnj06_revenue_increase_revenue_missing_date,what to expect from johnson johnson in 2018 | Revenue.Increase_Revenue,,no_results,x,,,,0,search/all,"""what to expect from johnson johnson in 2018"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",0
jnj05_financialreport_beat_missing_date,where s the tylenol jj disappoints and frustrates | FinancialReport.Beat,,no_results,x,,,,0,search/all,"""where s the tylenol jj disappoints and frustrates"" OR ""FinancialReport.Beat"" -is:retweet lang:en",0
abbv01_dividend_payment_missing_date,which big pharma is the best dividend stock | Dividend.Payment,,no_results,x,,,,0,search/all,"""which big pharma is the best dividend stock"" OR ""Dividend.Payment"" -is:retweet lang:en",0
gm00_product_service_launch_missing_date,who gets a for leadership tesla or gm | Product/Service.Launch,,no_results,x,,,,0,search/all,"""who gets a for leadership tesla or gm"" OR ""Product/Service.Launch"" -is:retweet lang:en",0
amd08_securityvalue_increase_securityvalue_missing_date,why advanced micro devices inc shares gained 115 in june | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""why advanced micro devices inc shares gained 115"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
amzn08_securityvalue_increase_securityvalue_missing_date,why amazoncom inc stock is up 35 this year | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""why amazoncom inc stock is up 35 this"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
amd01_profit_loss_increase_profit_loss_missing_date,why amd investors should nt lose faith | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""why amd investors should nt lose faith"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
nflx04_salesvolume_increase_salesvolume_missing_date,why analysts expect netflix s global membership base to grow | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""why analysts expect netflix s global membership base"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
wmt00_rating_buyoutperform_missing_date,why analysts opinion about walmart improved after 1q18 results | Rating.BuyOutperform,,no_results,x,,,,0,search/all,"""why analysts opinion about walmart improved after 1q18"" OR ""Rating.BuyOutperform"" -is:retweet lang:en",0
kmi04_product_service_launch_missing_date,why british columbia s election impacts kinder morgan | Product/Service.Launch,,no_results,x,,,,0,search/all,"""why british columbia s election impacts kinder morgan"" OR ""Product/Service.Launch"" -is:retweet lang:en",0
celg04_rating_upgrade_missing_date,why celgene is bucking biotech weakness today | Rating.Upgrade,,no_results,x,,,,0,search/all,"""why celgene is bucking biotech weakness today"" OR ""Rating.Upgrade"" -is:retweet lang:en",0
ge03_salesvolume_increase_salesvolume_missing_date,why ge will not be impacted by us withdrawal from paris climat | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""why ge will not be impacted by us"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
kmi02_dividend_yieldraise_missing_date,why long term investors should prefer kinder morgan inc over ene | Dividend.YieldRaise,,no_results,x,,,,0,search/all,"""why long term investors should prefer kinder morgan"" OR ""Dividend.YieldRaise"" -is:retweet lang:en",0
celg00_securityvalue_decrease_securityvalue_missing_date,why shares of biopharma giant celgene lrb celg rrb tumbled t | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""why shares of biopharma giant celgene lrb celg"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
cmg02_rating_buyoutperform_missing_date,why you re smart to buy chipotle | Rating.BuyOutperform,,no_results,x,,,,0,search/all,"""why you re smart to buy chipotle"" OR ""Rating.BuyOutperform"" -is:retweet lang:en",0
t00_expense_increase_expense_missing_date,why you should watch att s costs carefully | Expense.Increase_Expense,,no_results,x,,,,0,search/all,"""why you should watch att s costs carefully"" OR ""Expense.Increase Expense"" -is:retweet lang:en",0
ge08_financialreport_miss_missing_date,will general electric sell more assets to maintain its dividend | FinancialReport.Miss,,no_results,x,,,,0,search/all,"""will general electric sell more assets to maintain"" OR ""FinancialReport.Miss"" -is:retweet lang:en",0
gm09_employment_end_missing_date,will gm s top selling suv take a hit from canadian strike | Employment.End,,no_results,x,,,,0,search/all,"""will gm s top selling suv take a"" OR ""Employment.End"" -is:retweet lang:en",0
t12_securityvalue_decrease_securityvalue_missing_date,will the att time warner deal go through | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""will the att time warner deal go through"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
aapl03_product_service_launch_missing_date,will the iphone 8 help apple boost its market share | Product/Service.Launch,,no_results,x,,,,0,search/all,"""will the iphone 8 help apple boost its"" OR ""Product/Service.Launch"" -is:retweet lang:en",0
goog12_product_service_launch_missing_date,with its india first approach google is trying to woo the comm | Product/Service.Launch,,no_results,x,,,,0,search/all,"""with its india first approach google is trying"" OR ""Product/Service.Launch"" -is:retweet lang:en",0
goog10_product_service_launch_missing_date,worse than krack google and microsoft hit by massive 5 ye | Product/Service.Launch,,no_results,x,,,,0,search/all,"""worse than krack google and microsoft hit by"" OR ""Product/Service.Launch"" -is:retweet lang:en",0
